,Type,Year,Lat,Long
0,Robbery,2018,42.33428841,-71.07239518
1,Robbery,2018,42.31845834,-71.08032338
2,Robbery,2018,42.31078949,-71.10224589
3,Robbery,2018,42.37957532,-71.04011349
4,Robbery,2018,42.36690003,-71.03741912
5,Robbery,2018,42.28297379,-71.08194011
6,Robbery,2018,42.2943441,-71.0860401
7,Robbery,2018,42.2943441,-71.0860401
8,Robbery,2018,42.35249436,-71.0613928
10,Robbery,2018,42.30540715,-71.06547135
11,Robbery,2018,42.34980175,-71.07840978
12,Robbery,2018,42.30604707,-71.07820885
13,Robbery,2018,42.37507158,-71.06517497
14,Robbery,2018,42.38099773,-71.06210065
15,Robbery,2018,42.36683278,-71.05261725
16,Robbery,2018,42.38208102,-71.02170103
17,Robbery,2018,42.30876959,-71.07460717
18,Robbery,2018,42.3043395,-71.08477887
19,Robbery,2018,42.31506898,-71.09746579
20,Robbery,2018,42.34277705,-71.06952709
21,Robbery,2018,42.34767067,-71.07620742
22,Robbery,2018,42.34767067,-71.07620742
24,Robbery,2018,42.28783644,-71.08101039
25,Robbery,2018,42.3303353,-71.05760678
26,Robbery,2018,42.30896999,-71.08284839
27,Robbery,2018,42.32270922,-71.09932317
28,Robbery,2018,42.30867785,-71.0829592
29,Robbery,2018,42.3360657,-71.1506272
30,Robbery,2018,42.3360657,-71.1506272
31,Robbery,2018,42.26663472,-71.09677697
32,Robbery,2018,42.26663472,-71.09677697
34,Robbery,2018,42.31363409,-71.06778025
35,Robbery,2018,42.31544795,-71.09817611
36,Robbery,2018,42.38093483,-71.03342368
37,Robbery,2018,42.32665471,-71.10679596
39,Robbery,2018,42.35238871,-71.06260312
40,Robbery,2018,42.30649283,-71.08180677
41,Robbery,2018,42.30087717,-71.06378853
42,Robbery,2018,42.30876959,-71.07460717
43,Robbery,2018,42.33511904,-71.0749171
44,Robbery,2018,42.30978366,-71.08073158
45,Robbery,2018,42.34042575,-71.04894028
46,Robbery,2018,42.37784577,-71.03303551
47,Robbery,2018,42.30918419,-71.06553969
48,Robbery,2018,42.33152148,-71.07085307
49,Robbery,2018,42.29257648,-71.07179406
50,Robbery,2018,42.33401829,-71.07638124
51,Robbery,2018,42.29004971,-71.07021576
53,Robbery,2018,42.32885043,-71.07064355
54,Robbery,2018,42.32885043,-71.07064355
55,Robbery,2018,42.28056608,-71.08801662
56,Robbery,2018,42.28962239,-71.07141943
57,Robbery,2018,42.37495129,-71.03587934
58,Robbery,2018,42.34988575,-71.14522971
59,Robbery,2018,42.28665632,-71.13128576
60,Robbery,2018,42.28597581,-71.12013926
61,Robbery,2018,42.328597,-71.08274741
62,Robbery,2018,42.36183857,-71.05976489
63,Robbery,2018,42.34674238,-71.08970931
64,Robbery,2018,42.31396775,-71.09178832
65,Robbery,2018,42.38020764,-71.03493578
66,Robbery,2018,42.31990058,-71.06085392
67,Robbery,2018,42.34980175,-71.07840978
68,Robbery,2018,42.33210843,-71.07014395
